Day,DA_24,DA-DT(\/kWh),DA-PT(\/kWh),TTV(kWh),match
2019-12-31,5.82,5.92,4.51,728534550,6.39
2020-01-01,5.97,5.63,4.44,719697750,5.83
2020-01-02,5.97,5.87,4.54,715588650,6.06
2020-01-03,6.13,5.99,4.56,724015750,True
2020-01-04,6.4,6.41,4.73,739357900,6.49
2020-01-05,6.64,6.62,4.82,730576000,6.7
2020-01-06,7.73,8.03,6.71,914373900,7.82
2020-01-07,8.51,9.27,8.79,913361650,8.44
2020-01-08,8.12,8.84,8.56,890751850,True
2020-01-09,7.59,7.84,6.25,867607600,7.72
2020-01-10,8.29,8.71,7.29,872289350,8.35
2020-01-11,7.81,8.0,6.75,845943300,7.61
2020-01-12,7.56,8.0,6.68,807477500,7.5
2020-01-13,7.29,7.62,5.81,825645450,7.41
2020-01-14,8.06,8.52,7.38,902649400,8.09
2020-01-15,8.01,8.39,6.77,923740750,8.04
2020-01-16,8.54,9.2,8.63,909409650,8.62
2020-01-17,8.86,9.54,8.84,909901600,8.74
2020-01-18,8.02,8.46,6.77,852694500,8.06
2020-01-19,7.34,7.44,6.25,814720150,7.3
2020-01-20,7.85,8.09,6.32,909015550,7.91
2020-01-21,7.83,7.93,5.59,886748300,7.98
2020-01-22,8.82,9.36,8.72,906050800,8.89
2020-01-23,8.67,9.14,8.69,923909300,8.65
2020-01-24,7.93,8.05,7.38,947147700,7.64
2020-01-25,7.64,8.07,7.14,846323550,7.62
2020-01-26,7.31,7.74,6.64,834569350,7.28
2020-01-27,8.87,10.14,9.51,922891950,8.97
2020-01-28,8.03,8.66,8.08,938985850,8.05
2020-01-29,7.64,8.03,6.86,933887700,7.56
2020-01-30,7.23,7.41,5.82,925453450,7.27
2020-01-31,7.5,7.72,6.17,938741100,True
2020-02-01,6.87,6.83,4.88,837785450,6.79
2020-02-02,6.04,5.69,3.99,794826450,5.95
2020-02-03,7.29,7.72,6.69,921974850,7.46
2020-02-04,7.54,7.72,6.37,937983650,7.66
2020-02-05,7.3,7.21,5.47,899421950,7.42
2020-02-06,9.15,9.8,6.81,915438950,9.33
2020-02-07,9.57,10.13,8.25,940925100,9.59
2020-02-08,7.64,7.26,5.48,831846850,7.24
2020-02-09,7.06,7.04,5.34,846651000,7.22
2020-02-10,8.57,8.94,6.53,903922250,8.51
2020-02-11,7.05,6.81,4.72,816930050,7.03
2020-02-12,7.37,7.43,6.31,939873750,7.16
2020-02-13,6.67,6.78,5.44,876430750,6.64
2020-02-14,6.56,6.74,6.58,910279900,6.51
2020-02-15,5.84,5.71,4.68,836959200,5.59
