Date,Unnamed: 0,nuclear,thermal,hydropower,geothermal,bioenergy,solar,wind,pumping_up,pumping_down,regional_in,regional_out,solar_curtailment,wind_curtailment,demand,spot_price,match
2015-12-31,6,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.93
2016-01-01,30,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.06
2016-01-02,54,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.53
2016-01-03,78,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.74
2016-01-04,102,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.7
2016-01-05,126,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.93
2016-01-06,150,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.63
2016-01-07,174,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.84
2016-01-08,198,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,9.47
2016-01-09,222,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.13
2016-01-10,246,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.32
2016-01-11,270,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.74
2016-01-12,294,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,9.22
2016-01-13,318,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,9.31
2016-01-14,342,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,9.03
2016-01-15,366,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,9.38
2016-01-16,390,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.25
2016-01-17,414,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.49
2016-01-18,438,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,9.55
2016-01-19,462,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,9.38
2016-01-20,486,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,9.55
2016-01-21,510,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,9.62
2016-01-22,534,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,9.47
2016-01-23,558,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,9.61
2016-01-24,582,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.58
2016-01-25,606,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,15.64
2016-01-26,630,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,10.47
2016-01-27,654,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.92
2016-01-28,678,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.91
2016-01-29,702,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,9.78
2016-01-30,726,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.86
2016-01-31,750,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,6.9
2016-02-01,774,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.31
2016-02-02,798,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.29
2016-02-03,822,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.47
2016-02-04,846,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.0
2016-02-05,870,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.39
2016-02-06,894,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.02
2016-02-07,918,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.2
2016-02-08,942,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.5
2016-02-09,966,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.28
2016-02-10,990,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.79
2016-02-11,1014,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.16
2016-02-12,1038,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.71
2016-02-13,1062,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,6.9
2016-02-14,1086,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,6.6
2016-02-15,1110,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.61
2016-02-16,1134,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.54
2016-02-17,1158,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.68
2016-02-18,1182,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.78
2016-02-19,1206,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.73
2016-02-20,1230,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.06
2016-02-21,1254,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,6.46
2016-02-22,1278,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.13
2016-02-23,1302,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.82
2016-02-24,1326,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.63
2016-02-25,1350,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.25
2016-02-26,1374,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.28
2016-02-27,1398,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,6.97
2016-02-28,1422,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,6.79
2016-02-29,1446,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.41
2016-03-01,1470,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.42
2016-03-02,1494,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.2
2016-03-03,1518,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.63
2016-03-04,1542,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.3
2016-03-05,1566,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,6.34
2016-03-06,1590,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,6.18
2016-03-07,1614,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,6.95
2016-03-08,1638,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,6.92
2016-03-09,1662,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.96
2016-03-10,1686,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.99
2016-03-11,1710,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.02
2016-03-12,1734,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,6.88
2016-03-13,1758,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,6.58
2016-03-14,1782,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,8.03
2016-03-15,1806,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.32
2016-03-16,1830,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.73
2016-03-17,1854,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.09
2016-03-18,1878,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.38
2016-03-19,1902,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,6.82
2016-03-20,1926,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,6.14
2016-03-21,1950,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,6.91
2016-03-22,1974,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.4
2016-03-23,1998,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.08
2016-03-24,2022,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.54
2016-03-25,2046,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.42
2016-03-26,2070,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,6.75
2016-03-27,2093,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,6.62
2016-03-28,2117,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.69
2016-03-29,2141,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.0
2016-03-30,2165,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,6.72
2016-03-31,2189,1781,74811.0,6849.0,274,160,12,415,0,0,3977,-4475,0.0,0.0,83803,6.63,6.76
2016-04-01,2213,1783,73561.0,6653.0,272,215,6,708,-1481,0,4178,-4430,0.0,0.0,81464,6.7,7.43
2016-04-02,2237,1781,67220.0,6649.0,269,209,5,807,-1160,0,4227,-4601,0.0,0.0,75406,5.97,6.9
2016-04-03,2261,1781,67889.0,8547.0,271,211,4,593,-228,0,4094,-4444,0.0,0.0,78717,6.46,6.27
2016-04-04,2285,1781,74966.0,8606.0,270,197,21,420,0,0,4082,-4541,0.0,0.0,85802,6.43,7.94
2016-04-05,2309,1783,75633.0,8559.0,271,184,33,684,-2,0,3948,-4423,0.0,0.0,86671,5.96,6.99
2016-04-06,2333,1783,72093.0,8792.0,271,184,21,1128,-4,0,4131,-4526,0.0,0.0,83873,6.45,6.79
2016-04-07,2357,1782,71870.0,11110.0,274,201,27,620,-767,0,3971,-4424,0.0,0.0,84664,5.53,8.12
2016-04-08,2381,1782,68293.0,11455.0,278,269,48,612,-1611,0,3258,-3517,0.0,0.0,80867,6.19,6.6
2016-04-09,2405,1781,62418.0,10813.0,275,272,40,395,-541,0,3080,-3344,0.0,0.0,75188,5.32,6.08
2016-04-10,2429,1784,66924.0,10088.0,276,244,24,844,-484,0,3211,-3622,0.0,0.0,79287,4.98,5.75
2016-04-11,2453,1784,76869.0,10329.0,272,181,115,745,-4,0,3391,-3882,0.0,0.0,89801,6.18,6.39
2016-04-12,2477,1783,73479.0,9433.0,268,196,33,940,-264,0,3566,-4077,0.0,0.0,85356,6.31,6.62
2016-04-13,2501,1785,71402.0,10342.0,264,200,30,392,0,0,3411,-3903,0.0,0.0,83921,6.11,7.78
2016-04-14,2525,1785,69533.0,10310.0,268,196,92,1439,0,0,2873,-3414,0.0,0.0,83082,5.37,7.17
2016-04-15,2549,1787,67480.0,11162.0,159,256,112,548,-4,0,4065,-4479,0.0,0.0,81085,6.08,6.49
2016-04-16,2573,1785,60427.0,10063.0,156,241,34,1316,-199,0,4023,-4401,0.0,0.0,73446,5.42,5.68
