”NŒŽ“ú,DA-24(\/kWh),DA-DT(\/kWh),DA-PT(\/kWh),TTV(kWh)
2020/04/01,7.11,8.31,8.45,820495900
2020/04/02,5.68,5.55,4.37,793736650
2020/04/03,5.93,5.64,4.21,805867200
2020/04/04,4.30,3.14,1.11,709349300
2020/04/05,4.47,3.98,1.45,614509650
2020/04/06,5.41,5.43,4.16,793685050
2020/04/07,5.58,5.30,3.55,790670050
2020/04/08,5.56,5.22,4.25,793289200
2020/04/09,5.79,5.52,4.22,779914550
2020/04/10,5.58,5.20,3.72,785320500
2020/04/11,5.57,4.99,3.64,684721450
2020/04/12,5.63,5.77,4.61,752969800
2020/04/13,6.60,7.47,6.68,860655050
2020/04/14,5.16,4.64,3.19,810471600
2020/04/15,5.32,5.04,4.33,818482600
2020/04/16,5.74,5.58,4.36,806619750
2020/04/17,5.78,6.04,6.29,829530400
2020/04/18,5.17,4.80,3.48,634383700
2020/04/19,4.24,4.21,3.45,684930750
2020/04/20,5.10,5.39,4.80,777172500
2020/04/21,4.83,4.83,4.16,797567450
2020/04/22,4.68,4.58,4.06,761649200
2020/04/23,5.23,5.30,4.58,744076600
2020/04/24,5.34,4.99,4.34,752194400
2020/04/25,4.03,2.99,0.33,630603800
2020/04/26,3.78,3.13,1.37,605492150
2020/04/27,4.93,4.89,4.47,697806000
2020/04/28,4.91,4.45,3.91,702818150
2020/04/29,4.19,3.13,0.69,584960400
2020/04/30,5.49,4.95,3.05,672555250
2020/05/01,5.25,4.94,3.09,652816300
2020/05/02,4.49,3.86,2.22,632802150
2020/05/03,4.03,3.59,2.54,644507450
2020/05/04,3.70,3.57,1.10,587689000
2020/05/05,2.97,2.37,0.01,568272350
2020/05/06,3.10,2.58,0.01,585865550
2020/05/07,3.23,2.69,1.15,637424550
2020/05/08,3.09,2.58,1.46,664755450
2020/05/09,3.91,4.00,4.39,669039400
2020/05/10,3.97,4.06,3.33,615308050
2020/05/11,3.06,2.42,1.25,654251650
2020/05/12,3.78,3.53,3.32,680902050
2020/05/13,3.67,3.24,2.97,681747050
2020/05/14,4.22,3.92,4.21,702739400
2020/05/15,4.69,4.86,5.84,751184550
2020/05/16,5.16,5.48,4.62,749102850
2020/05/17,2.86,2.16,0.01,679221300
2020/05/18,5.00,5.98,6.24,780957200
2020/05/19,4.58,4.62,4.05,699965300
2020/05/20,4.26,4.35,3.63,701376500
2020/05/21,4.71,5.00,4.28,712214300
2020/05/22,4.69,4.78,4.47,724906750
2020/05/23,4.66,4.54,3.27,627301350
2020/05/24,2.98,2.56,0.01,582179000
2020/05/25,4.99,5.56,5.56,774443200
2020/05/26,5.57,6.23,6.26,848319850
2020/05/27,5.23,5.43,4.62,738633250
2020/05/28,4.73,4.71,3.88,732838050
2020/05/29,4.70,4.81,4.57,734816300
2020/05/30,4.04,4.12,3.32,681336600
2020/05/31,4.16,4.21,2.85,673736850
2020/06/01,4.74,5.31,5.77,830661550
2020/06/02,3.74,3.74,3.35,777432950
2020/06/03,5.43,6.12,6.29,768207600
2020/06/04,5.05,5.56,5.25,848848600
2020/06/05,5.03,5.52,4.85,871151300
2020/06/06,4.54,4.74,4.52,732370250
2020/06/07,2.85,2.29,0.35,631397800
2020/06/08,4.37,4.76,4.26,812481400
2020/06/09,5.34,5.99,5.82,887034100
2020/06/10,6.34,7.47,8.42,846636450
2020/06/11,8.13,10.36,14.88,844262850
2020/06/12,6.78,7.95,8.38,865395450
2020/06/13,5.52,6.11,5.75,779418350
2020/06/14,4.57,4.86,4.23,756941500
2020/06/15,5.95,7.34,8.13,876684650
2020/06/16,5.81,6.90,7.62,889882800
2020/06/17,5.18,6.04,6.24,911975250
2020/06/18,5.77,6.78,7.19,869442000
2020/06/19,5.23,6.04,6.18,844376600
2020/06/20,3.61,3.66,3.17,717909300
2020/06/21,2.71,2.41,0.99,668083450
2020/06/22,4.48,5.08,5.36,820419250
2020/06/23,4.85,5.44,5.47,848795100
2020/06/24,5.04,5.61,5.59,903416950
2020/06/25,5.68,6.67,7.16,894132250
2020/06/26,5.91,7.10,7.89,910752050
2020/06/27,4.24,4.50,3.76,817435400
2020/06/28,3.77,4.01,3.28,783980100
2020/06/29,4.59,5.31,5.43,929505350
2020/06/30,4.90,5.65,5.98,901974950
2020/07/01,4.19,4.54,4.06,962332500
2020/07/02,4.59,5.14,4.89,934906900
2020/07/03,5.03,5.80,6.61,930901350
2020/07/04,3.64,4.31,3.78,835740550
2020/07/05,3.94,4.56,4.26,822126400
2020/07/06,4.86,6.01,7.02,889577200
2020/07/07,5.29,6.32,7.22,929528200
2020/07/08,5.26,6.14,6.81,928271900
2020/07/09,5.29,6.28,6.85,902782500
2020/07/10,5.29,6.23,6.55,909232750
2020/07/11,4.05,4.45,4.24,831930050
2020/07/12,3.49,3.90,3.48,793818400
2020/07/13,4.69,5.68,6.66,889377950
2020/07/14,4.36,5.04,5.06,917278050
2020/07/15,3.80,4.27,4.40,900099650
2020/07/16,3.79,4.25,4.07,899890900
2020/07/17,3.55,4.18,3.93,902308000
2020/07/18,3.63,3.92,3.32,789592400
2020/07/19,2.61,3.06,2.05,741555300
2020/07/20,3.56,4.72,4.93,828050900
2020/07/21,4.06,4.64,4.85,852884850
2020/07/22,4.74,5.73,6.46,951889850
2020/07/23,3.99,4.78,4.51,811672400
2020/07/24,4.00,4.44,4.85,774648250
2020/07/25,3.63,4.28,4.30,858533900
2020/07/26,3.58,4.37,3.99,841227650
2020/07/27,5.25,6.72,7.86,910750600
2020/07/28,5.34,6.49,7.14,953344600
2020/07/29,4.71,5.53,5.76,950582500
2020/07/30,4.72,5.47,5.43,954870750
2020/07/31,4.77,5.52,5.45,967440700
2020/08/01,3.73,3.86,3.76,808424950
2020/08/02,3.13,3.36,3.53,854447250
2020/08/03,4.15,5.19,5.61,955402000
2020/08/04,4.75,5.40,5.78,991447250
2020/08/05,5.61,6.83,6.68,1013380500
2020/08/06,5.20,6.04,6.70,1010291750
2020/08/07,6.20,7.81,9.83,1001867200
2020/08/08,4.57,5.04,4.52,945944350
2020/08/09,4.17,4.70,3.83,829994700
2020/08/10,4.42,5.07,4.45,831917050
2020/08/11,5.46,6.36,6.03,969717600
2020/08/12,5.51,6.37,6.93,957923800
2020/08/13,4.66,4.93,4.23,971934550
2020/08/14,4.54,4.92,4.05,943846150
2020/08/15,5.06,5.92,4.63,912714750
2020/08/16,4.69,5.26,4.68,905965950
2020/08/17,12.77,18.82,23.05,1013165150
2020/08/18,11.10,15.83,11.98,1059863800
2020/08/19,8.98,11.89,10.02,1068220900
2020/08/20,10.76,14.92,14.53,1073752350
2020/08/21,9.72,13.09,12.81,1068210300
2020/08/22,5.63,6.37,6.70,963967600
2020/08/23,4.71,5.20,4.65,925969700
2020/08/24,7.28,9.44,10.39,1018019950
2020/08/25,9.06,12.43,15.92,1031060000
2020/08/26,10.20,14.11,12.76,1030612100
2020/08/27,13.31,19.24,26.19,1023863400
