nuclear,thermal,hydropower,geothermal,bioenergy,solar,wind,pumping_up,pumping_down,regional_in,regional_out,solar_curtailment,wind_curtailment,demand,spot_price,Date
9144,78060,3790,230,1263,0,1380,0,962,6307,-6315,0,0,94821,8.74,2018-12-31 17:00:00
9146,75827,3880,231,1262,0,1350,0,744,5837,-5832,0,0,92446,8.66,2018-12-31 18:00:00
9146,74605,4108,230,1259,0,1349,0,700,5801,-5799,0,0,91399,8.51,2018-12-31 19:00:00
9146,72931,4420,232,1260,0,1328,0,727,6037,-6036,0,0,90045,8.86,2018-12-31 20:00:00
9148,71545,4280,232,1259,0,1399,-130,276,5699,-5706,0,0,88002,8.19,2018-12-31 21:00:00
9146,69782,3958,231,1257,0,1428,-305,241,5810,-5813,0,0,85734,8.2,2018-12-31 22:00:00
9147,70027,4017,231,1262,0,1434,-331,171,6218,-6220,0,0,85956,8.45,2018-12-31 23:00:00
9144,71303,4032,230,1210,1454,1384,-300,80,6867,-6867,0,0,88537,8.7,2019-01-01 00:00:00
9145,68297,3736,230,1138,8354,1349,-290,71,6486,-6489,0,0,92025,8.27,2019-01-01 01:00:00
9146,60159,3490,231,1099,15277,1366,-1668,60,6738,-6748,0,0,89150,6.67,2019-01-01 02:00:00
9146,55716,3287,229,1082,20150,1457,-6804,0,7034,-7043,0,0,84254,5.82,2019-01-01 03:00:00
9143,54566,3345,231,1078,21850,1460,-10943,0,7451,-7452,0,0,80729,5.59,2019-01-01 04:00:00
9143,54734,3334,229,1089,20797,1434,-12147,1,7599,-7595,0,0,78617,5.54,2019-01-01 05:00:00
9145,55893,3325,231,1108,17359,1420,-11316,0,7533,-7529,0,0,77168,5.59,2019-01-01 06:00:00
9143,57905,3427,229,1136,11518,1343,-7397,0,6889,-6886,0,0,77306,5.95,2019-01-01 07:00:00
9144,61024,3757,233,1180,4783,1301,-2050,25,6406,-6407,0,0,79396,6.4,2019-01-01 08:00:00
9143,68190,4580,232,1204,564,1299,-342,46,6256,-6253,0,0,84920,8.01,2019-01-01 09:00:00
9141,74874,5763,230,1209,6,1227,0,789,6439,-6443,0,0,93235,9.06,2019-01-01 10:00:00
9142,76116,6337,232,1209,0,1205,0,1113,6756,-6760,0,0,95350,9.74,2019-01-01 11:00:00
9143,76078,6077,231,1218,0,1220,0,1058,6749,-6751,0,0,95022,9.74,2019-01-01 12:00:00
9140,75838,5610,228,1217,0,1209,0,1461,6639,-6640,0,0,94701,9.7,2019-01-01 13:00:00
9141,74817,5024,231,1209,0,1294,0,1772,6535,-6541,0,0,93482,9.74,2019-01-01 14:00:00
9145,71353,4326,233,1240,0,1344,-41,2093,6189,-6191,0,0,89691,9.03,2019-01-01 15:00:00
9146,69404,4113,234,1275,0,1374,-8,1945,5948,-5945,0,0,87486,8.67,2019-01-01 16:00:00
9144,67298,3572,228,1280,0,1348,-249,529,5562,-5558,0,0,83156,8.25,2019-01-01 17:00:00
9145,66119,3574,227,1281,0,1299,-277,531,5486,-5488,0,0,81898,8.15,2019-01-01 18:00:00
9146,66432,3867,229,1275,0,1300,0,870,5267,-5270,0,0,83116,8.5,2019-01-01 19:00:00
9146,66056,4456,227,1277,0,1347,0,1004,5183,-5190,0,0,83506,8.07,2019-01-01 20:00:00
