Date,nuclear,thermal,hydropower,geothermal,bioenergy,solar,wind,pumping_up,pumping_down,regional_in,regional_out,solar_curtailment,wind_curtailment,demand,spot_price
2019-12-31 17:00:00,7363,71480,5422,253,1632,0,2036,-159,673,6999,-7000,0,0,88699,6.71
2019-12-31 18:00:00,7365,69454,5455,254,1623,0,2000,-163,615,6902,-6906,0,0,86601,6.53
2019-12-31 19:00:00,7364,69126,5477,253,1626,0,1981,-161,750,6825,-6829,0,0,86412,6.86
2019-12-31 20:00:00,7365,67903,5787,252,1624,0,2029,-160,892,6576,-6575,0,0,85694,6.33
2019-12-31 21:00:00,7363,66930,5598,250,1626,0,2021,-282,561,6596,-6598,0,0,84066,6.07
2019-12-31 22:00:00,7367,65908,5520,248,1619,0,1955,-922,152,6983,-6982,0,0,81848,6.0
2019-12-31 23:00:00,7364,66127,5401,252,1620,0,1881,-1248,151,7288,-7288,0,0,81549,6.26
2020-01-01 00:00:00,7364,66359,5245,252,1624,1627,1762,-983,1070,8001,-7999,0,0,84322,6.46
2020-01-01 01:00:00,7366,62356,4982,253,1638,9875,1600,-732,1059,8419,-8414,153,22,88403,6.08
2020-01-01 02:00:00,7366,55395,4602,251,1659,18030,1686,-2809,1,8259,-8259,356,31,86182,5.16
2020-01-01 03:00:00,7366,51462,4385,252,1610,23500,1766,-8371,0,7782,-7781,526,30,81973,4.53
2020-01-01 04:00:00,7366,50991,4265,249,1611,25331,1833,-13030,0,8024,-8020,883,37,78620,4.27
2020-01-01 05:00:00,7367,50944,4224,253,1613,24851,1888,-14083,0,7962,-7960,1346,43,77059,4.09
2020-01-01 06:00:00,7368,51726,4292,254,1607,21211,1902,-13349,0,7805,-7801,1331,50,75013,4.21
2020-01-01 07:00:00,7367,52523,4463,254,1601,16143,1924,-10182,0,7477,-7473,717,49,74099,4.31
2020-01-01 08:00:00,7365,56010,4896,252,1625,8477,1886,-4570,32,7766,-7766,337,40,75973,4.8
2020-01-01 09:00:00,7357,62397,5612,253,1648,1684,1853,-881,1463,8198,-8206,0,0,81377,6.06
